country_iso3,value
ARG,1
BOL,1
BRA,0
CHL,1
COL,1
ECU,1
GUY,0
PRY,1
PER,1
SUR,0
URY,1
VEN,1
BLZ,0
CRI,1
SLV,1
GTM,1
HND,1
NIC,1
PAN,1
CAN,0
MEX,1
USA,0
CUB,1
DOM,1
HTI,0
JAM,0
TTO,0
BHS,0
BRB,0
ESP,1
